gbifID	datasetKey	occurrenceID	kingdom	phylum	class	order	family	genus	species	infraspecificEpithet	taxonRank	scientificName	countryCode	locality	publishingOrgKey	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	coordinatePrecision	elevation	elevationAccuracy	depth	depthAccuracy	eventDate	day	month	year	taxonKey	speciesKey	basisOfRecord	institutionCode	collectionCode	catalogNumber	recordNumber	identifiedBy	dateIdentified	license	rightsHolder	recordedBy	typeStatus	establishmentMeans	lastInterpreted	mediaType	issue
1427421835	8ec73638-2c0b-45b1-a399-be159f3799dc		Plantae	Rhodophyta	Florideophyceae	Corallinales	Hapalidiaceae	Mesophyllum	Mesophyllum erubescens		SPECIES	Mesophyllum erubescens (Folie) Me.Lemoine	NZ	Sumner Head - West side	c58ac019-b413-4613-8772-39e57acbeb8e	-43.571	172.771833	30.0				0.5	0.5	2003-11-28T00:00:00Z	28	11	2003	9756683	9756683	HUMAN_OBSERVATION	NIWA	MBIS Coralline Algae	NZC642 Mesophyllum erubescens				CC_BY_4_0	NIWA				2018-12-09T23:26:07.560Z		COORDINATE_ROUNDED
1427421834	8ec73638-2c0b-45b1-a399-be159f3799dc		Plantae	Rhodophyta	Florideophyceae	Corallinales	Hapalidiaceae	Mesophyllum	Mesophyllum erubescens		SPECIES	Mesophyllum erubescens (Folie) Me.Lemoine	NZ	Tasman Bay - Cable Bay	c58ac019-b413-4613-8772-39e57acbeb8e	-41.156917	173.408283	30.0				0.5	0.5	2003-03-20T00:00:00Z	20	3	2003	9756683	9756683	HUMAN_OBSERVATION	NIWA	MBIS Coralline Algae	NZC242 Mesophyllum erubescens				CC_BY_4_0	NIWA				2018-12-09T23:26:07.556Z		COORDINATE_ROUNDED
1427421833	8ec73638-2c0b-45b1-a399-be159f3799dc		Plantae	Rhodophyta	Florideophyceae	Corallinales	Hapalidiaceae	Mesophyllum	Mesophyllum erubescens		SPECIES	Mesophyllum erubescens (Folie) Me.Lemoine	NZ	Taupo Rocks North	c58ac019-b413-4613-8772-39e57acbeb8e	-40.78085	172.983167	30.0				8.0	1.0	2003-03-18T00:00:00Z	18	3	2003	9756683	9756683	HUMAN_OBSERVATION	NIWA	MBIS Coralline Algae	NZC469 Mesophyllum erubescens				CC_BY_4_0	NIWA				2018-12-09T23:26:07.556Z		COORDINATE_ROUNDED
1427421832	8ec73638-2c0b-45b1-a399-be159f3799dc		Plantae	Rhodophyta	Florideophyceae	Corallinales	Hapalidiaceae	Mesophyllum	Mesophyllum erubescens		SPECIES	Mesophyllum erubescens (Folie) Me.Lemoine	NZ	Decanter Bay	c58ac019-b413-4613-8772-39e57acbeb8e	-43.645767	172.9997	30.0				7.0	2.0	2004-03-09T00:00:00Z	9	3	2004	9756683	9756683	HUMAN_OBSERVATION	NIWA	MBIS Coralline Algae	NZC880 Mesophyllum erubescens				CC_BY_4_0	NIWA				2018-12-09T23:26:07.557Z		COORDINATE_ROUNDED
1427421831	8ec73638-2c0b-45b1-a399-be159f3799dc		Plantae	Rhodophyta	Florideophyceae	Corallinales	Hapalidiaceae	Mesophyllum	Mesophyllum erubescens		SPECIES	Mesophyllum erubescens (Folie) Me.Lemoine	NZ	Gisborne - Makorori	c58ac019-b413-4613-8772-39e57acbeb8e	-38.66	178.11	30.0				0.5	0.5	2004-03-07T00:00:00Z	7	3	2004	9756683	9756683	HUMAN_OBSERVATION	NIWA	MBIS Coralline Algae	NZC1046 Mesophyllum erubescens				CC_BY_4_0	NIWA				2018-12-09T23:26:07.545Z		
1427421830	8ec73638-2c0b-45b1-a399-be159f3799dc		Plantae	Rhodophyta	Florideophyceae	Corallinales	Hapalidiaceae	Mesophyllum	Mesophyllum erubescens		SPECIES	Mesophyllum erubescens (Folie) Me.Lemoine	NZ	Taylor's Mistake - South end of beach	c58ac019-b413-4613-8772-39e57acbeb8e	-43.585	172.773833	30.0				2.5	2.5	2003-11-28T00:00:00Z	28	11	2003	9756683	9756683	HUMAN_OBSERVATION	NIWA	MBIS Coralline Algae	NZC630 Mesophyllum erubescens				CC_BY_4_0	NIWA				2018-12-09T23:26:07.547Z		COORDINATE_ROUNDED
1427421829	8ec73638-2c0b-45b1-a399-be159f3799dc		Plantae	Rhodophyta	Florideophyceae	Corallinales	Hapalidiaceae	Mesophyllum	Mesophyllum erubescens		SPECIES	Mesophyllum erubescens (Folie) Me.Lemoine	NZ	Whare North Rocks	c58ac019-b413-4613-8772-39e57acbeb8e	-40.784	172.961283	30.0				8.0	1.0	2003-03-18T00:00:00Z	18	3	2003	9756683	9756683	HUMAN_OBSERVATION	NIWA	MBIS Coralline Algae	NZC473 Mesophyllum erubescens				CC_BY_4_0	NIWA				2018-12-09T23:26:07.541Z		COORDINATE_ROUNDED
1427421828	8ec73638-2c0b-45b1-a399-be159f3799dc		Plantae	Rhodophyta	Florideophyceae	Corallinales	Hapalidiaceae	Mesophyllum	Mesophyllum erubescens		SPECIES	Mesophyllum erubescens (Folie) Me.Lemoine	NZ	New Plymouth - Hapuka Rock	c58ac019-b413-4613-8772-39e57acbeb8e	-39.05	173.983333	30.0				12.5	12.5	2003-12-04T00:00:00Z	4	12	2003	9756683	9756683	HUMAN_OBSERVATION	NIWA	MBIS Coralline Algae	A026953				CC_BY_4_0	NIWA				2018-12-09T23:26:07.547Z		COORDINATE_ROUNDED
1427421827	8ec73638-2c0b-45b1-a399-be159f3799dc		Plantae	Rhodophyta	Florideophyceae	Corallinales	Hapalidiaceae	Mesophyllum	Mesophyllum erubescens		SPECIES	Mesophyllum erubescens (Folie) Me.Lemoine	NZ	Mataikona	c58ac019-b413-4613-8772-39e57acbeb8e	-40.794383	176.266767	30.0				4.0	1.0	2004-01-27T00:00:00Z	27	1	2004	9756683	9756683	HUMAN_OBSERVATION	NIWA	MBIS Coralline Algae	NZC802 Mesophyllum erubescens				CC_BY_4_0	NIWA				2018-12-09T23:26:07.534Z		COORDINATE_ROUNDED
1427421826	8ec73638-2c0b-45b1-a399-be159f3799dc		Plantae	Rhodophyta	Florideophyceae	Corallinales	Hapalidiaceae	Mesophyllum	Mesophyllum erubescens		SPECIES	Mesophyllum erubescens (Folie) Me.Lemoine	NZ	Buller - Cape Foulwind, Three Steeples	c58ac019-b413-4613-8772-39e57acbeb8e	-41.731467	171.469633	30.0				7.5	4.5	2003-04-16T00:00:00Z	16	4	2003	9756683	9756683	HUMAN_OBSERVATION	NIWA	MBIS Coralline Algae	NZC560 Mesophyllum erubescens				CC_BY_4_0	NIWA				2018-12-09T23:26:07.532Z		COORDINATE_ROUNDED
1427421825	8ec73638-2c0b-45b1-a399-be159f3799dc		Plantae	Rhodophyta	Florideophyceae	Corallinales	Hapalidiaceae	Mesophyllum	Mesophyllum erubescens		SPECIES	Mesophyllum erubescens (Folie) Me.Lemoine	NZ	Lyttelton Harbour - Diamond Harbour	c58ac019-b413-4613-8772-39e57acbeb8e	-43.623333	172.723333	30.0				0.5	0.5	2003-11-27T00:00:00Z	27	11	2003	9756683	9756683	HUMAN_OBSERVATION	NIWA	MBIS Coralline Algae	NZC631 Mesophyllum erubescens				CC_BY_4_0	NIWA				2018-12-09T23:26:07.543Z		COORDINATE_ROUNDED
1427421824	8ec73638-2c0b-45b1-a399-be159f3799dc		Plantae	Rhodophyta	Florideophyceae	Corallinales	Hapalidiaceae	Mesophyllum	Mesophyllum erubescens		SPECIES	Mesophyllum erubescens (Folie) Me.Lemoine	NZ	Buller - Cape Foulwind, Three Steeples	c58ac019-b413-4613-8772-39e57acbeb8e	-41.731467	171.469633	30.0				12.5	4.5	2003-04-16T00:00:00Z	16	4	2003	9756683	9756683	HUMAN_OBSERVATION	NIWA	MBIS Coralline Algae	NZC609 Mesophyllum erubescens				CC_BY_4_0	NIWA				2018-12-09T23:26:07.557Z		COORDINATE_ROUNDED
